City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Hasaki,JP,35.7333,140.8333,76.21,65,3,10.29,clear sky,2022-10-16 04:17:14
1,Teguise,ES,29.0605,-13.564,66.42,73,100,11.5,light rain,2022-10-16 04:17:14
2,Busselton,AU,-33.65,115.3333,61.16,47,51,9.73,broken clouds,2022-10-16 04:17:15
3,Kenora,CA,49.8167,-94.4337,36.57,100,100,10.36,overcast clouds,2022-10-16 04:15:47
4,Kapaa,US,22.0752,-159.319,82.38,78,100,13.8,overcast clouds,2022-10-16 04:17:16
5,Punta Arenas,CL,-53.15,-70.9167,41.11,70,0,16.11,clear sky,2022-10-16 04:12:19
6,Taseyevo,RU,57.2169,94.8978,38.44,58,73,7.45,broken clouds,2022-10-16 04:17:17
7,Provideniya,RU,64.3833,-173.3,27.63,80,100,14.88,overcast clouds,2022-10-16 04:12:20
8,Nadym,RU,65.5333,72.5167,37.22,88,100,4.65,light rain,2022-10-16 04:17:18
9,Rancho Mirage,US,33.7397,-116.4128,70.41,79,0,4.61,clear sky,2022-10-16 04:17:11
10,Thompson,CA,55.7435,-97.8558,26.76,80,100,16.11,overcast clouds,2022-10-16 04:17:19
11,Yabrud,SY,33.9674,36.6574,54.48,60,8,1.81,clear sky,2022-10-16 04:17:19
12,Rikitea,PF,-23.1203,-134.9692,73.2,84,80,18.41,moderate rain,2022-10-16 04:17:20
13,Bull Savanna,JM,17.8868,-77.5902,76.59,79,99,4.92,overcast clouds,2022-10-16 04:17:20
14,New Norfolk,AU,-42.7826,147.0587,58.91,50,93,5.99,overcast clouds,2022-10-16 04:13:40
15,Hermanus,ZA,-34.4187,19.2345,61.81,90,42,9.95,scattered clouds,2022-10-16 04:14:58
16,Codrington,AU,-38.2667,141.9667,56.75,66,32,10.92,scattered clouds,2022-10-16 04:16:31
17,Bredasdorp,ZA,-34.5322,20.0403,56.8,97,99,6.46,overcast clouds,2022-10-16 04:17:21
18,Asau,RO,46.4333,26.4,34.72,89,4,1.88,clear sky,2022-10-16 04:17:22
19,Vestmannaeyjar,IS,63.4427,-20.2734,38.19,67,98,33.8,overcast clouds,2022-10-16 04:17:22
20,Butaritari,KI,3.0707,172.7902,81.54,72,1,17.45,clear sky,2022-10-16 04:17:23
21,Puerto Escondido,MX,15.85,-97.0667,80.06,84,92,3.89,light rain,2022-10-16 04:17:23
22,Hobart,AU,-42.8794,147.3294,59.25,55,40,5.75,scattered clouds,2022-10-16 04:15:02
23,Port Blair,IN,11.6667,92.75,84.24,79,75,8.05,broken clouds,2022-10-16 04:17:24
24,Lompoc,US,34.6391,-120.4579,64.78,89,100,4.61,overcast clouds,2022-10-16 04:16:24
25,Barrow,US,71.2906,-156.7887,15.82,86,0,10.36,clear sky,2022-10-16 04:14:51
26,Aklavik,CA,68.2191,-135.0107,22.23,75,100,9.15,overcast clouds,2022-10-16 04:13:41
27,Armeria,MX,18.9333,-103.9667,78.17,91,65,2.04,broken clouds,2022-10-16 04:17:26
28,San Patricio,US,28.017,-97.5169,82.26,72,3,10.22,clear sky,2022-10-16 04:17:26
29,College,US,64.8569,-147.8028,32.07,79,75,5.75,broken clouds,2022-10-16 04:17:26
30,Port Alfred,ZA,-33.5906,26.891,63.18,96,100,8.01,moderate rain,2022-10-16 04:14:54
31,Ruidoso,US,33.3317,-105.673,59.52,62,19,6.91,few clouds,2022-10-16 04:17:27
32,Ribeira Grande,PT,38.5167,-28.7,62.78,71,99,8.01,overcast clouds,2022-10-16 04:16:19
33,Salinas,US,36.6777,-121.6555,61.83,76,69,1.74,broken clouds,2022-10-16 04:17:28
34,Olafsvik,IS,64.8945,-23.7142,34.83,71,97,40.35,overcast clouds,2022-10-16 04:17:28
35,Saldanha,ZA,-33.0117,17.9442,57.25,90,47,1.66,scattered clouds,2022-10-16 04:16:23
36,Greensburg,US,40.3015,-79.5389,45.99,84,0,0.0,clear sky,2022-10-16 04:17:29
37,Alice Springs,AU,-23.7,133.8833,90.95,40,40,8.05,scattered clouds,2022-10-16 04:17:30
38,Puerto Ayora,EC,-0.7393,-90.3518,64.54,96,86,7.0,overcast clouds,2022-10-16 04:15:09
39,Nipawin,CA,53.3668,-104.0009,28.44,74,0,6.91,clear sky,2022-10-16 04:17:30
40,Chiredzi,ZW,-21.05,31.6667,68.54,84,10,9.82,clear sky,2022-10-16 04:17:31
41,Ushuaia,AR,-54.8,-68.3,46.06,34,0,6.91,clear sky,2022-10-16 04:17:32
42,Jamestown,US,42.097,-79.2353,44.71,90,0,3.44,clear sky,2022-10-16 04:13:31
43,Marsh Harbour,BS,26.5412,-77.0636,80.73,71,16,19.33,few clouds,2022-10-16 04:17:33
44,Burnie,AU,-41.0667,145.9167,56.75,47,96,8.55,overcast clouds,2022-10-16 04:17:33
45,Omboue,GA,-1.5746,9.2618,73.18,94,96,3.15,light rain,2022-10-16 04:17:34
46,Upernavik,GL,72.7868,-56.1549,27.82,62,100,7.56,overcast clouds,2022-10-16 04:16:29
47,Carnarvon,AU,-24.8667,113.6333,70.12,57,64,19.3,broken clouds,2022-10-16 04:17:35
48,Nouadhibou,MR,20.931,-17.0347,67.98,94,75,11.5,mist,2022-10-16 04:18:35
49,Avarua,CK,-21.2078,-159.775,77.05,73,5,8.05,clear sky,2022-10-16 04:18:36
50,Hithadhoo,MV,-0.6,73.0833,81.32,69,96,14.18,overcast clouds,2022-10-16 04:18:37
51,Ginir,ET,7.1333,40.7,58.5,88,80,2.44,light rain,2022-10-16 04:18:37
52,Canavieiras,BR,-15.675,-38.9472,70.36,91,62,5.46,broken clouds,2022-10-16 04:18:38
53,Dikson,RU,73.5069,80.5464,32.49,82,48,12.46,scattered clouds,2022-10-16 04:18:39
54,Storm Lake,US,42.6411,-95.2097,48.42,43,0,11.5,clear sky,2022-10-16 04:18:39
55,Salihorsk,BY,52.7876,27.5415,43.23,72,34,10.94,scattered clouds,2022-10-16 04:18:40
56,Ilhabela,BR,-23.7781,-45.3581,69.21,92,97,5.59,overcast clouds,2022-10-16 04:14:10
57,Gazli,UZ,40.1333,63.45,65.08,26,38,13.51,scattered clouds,2022-10-16 04:18:41
