City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2022-10-11 22:13:36,-33.65,115.3333,52.2,64,98,10.22
1,Devils Lake,US,2022-10-11 22:18:28,48.1128,-98.8651,57.31,58,40,31.07
2,Jind,IN,2022-10-11 22:18:29,29.3167,76.3167,70.61,86,0,2.39
3,Khislavichi,RU,2022-10-11 22:18:30,54.1871,32.1582,42.44,78,100,6.29
4,Castro,BR,2022-10-11 22:18:30,-24.7911,-50.0119,62.78,93,88,3.06
5,Kruisfontein,ZA,2022-10-11 22:18:31,-34.0033,24.7314,62.89,91,99,5.03
6,Port Elizabeth,ZA,2022-10-11 22:18:31,-33.918,25.5701,67.32,82,40,12.66
7,Aksarka,RU,2022-10-11 22:18:32,66.5606,67.7975,34.52,89,12,9.57
8,San Jose,US,2022-10-11 22:11:41,37.3394,-121.895,87.49,49,20,10.36
9,Hilo,US,2022-10-11 22:18:33,19.7297,-155.09,89.28,74,0,9.22
10,Ostrovnoy,RU,2022-10-11 22:18:33,68.0531,39.5131,42.33,89,80,19.26
11,Chokurdakh,RU,2022-10-11 22:14:58,70.6333,147.9167,9.91,85,85,9.17
12,Margate,GB,2022-10-11 22:15:11,51.3813,1.3862,46.31,66,61,4.9
13,Kieta,PG,2022-10-11 22:18:34,-6.2167,155.6333,82.89,73,100,3.49
14,Jaffna,LK,2022-10-11 22:18:35,9.6685,80.0074,79.14,83,77,10.76
15,Hasaki,JP,2022-10-11 22:12:21,35.7333,140.8333,63.0,66,100,19.44
16,Nizhniye Vyazovyye,RU,2022-10-11 22:18:36,55.7988,48.5248,48.36,90,100,9.62
17,Saint-Augustin,CA,2022-10-11 22:18:37,51.226,-58.6502,42.12,90,100,20.96
18,Nantucket,US,2022-10-11 22:15:35,41.2835,-70.0995,60.01,86,0,5.75
19,Hermanus,ZA,2022-10-11 22:12:13,-34.4187,19.2345,61.81,96,100,3.94
20,Saint Anthony,US,2022-10-11 22:18:38,45.0205,-93.218,79.77,50,20,20.71
21,Port-Cartier,CA,2022-10-11 22:18:39,50.0334,-66.8654,47.88,71,100,11.12
22,Waingapu,ID,2022-10-11 22:18:39,-9.6567,120.2641,79.27,77,100,2.35
23,Dikson,RU,2022-10-11 22:12:24,73.5069,80.5464,31.93,97,100,5.3
24,Bhadrachalam,IN,2022-10-11 22:18:40,17.6667,80.8833,73.49,97,61,2.01
25,Bathsheba,BB,2022-10-11 22:14:53,13.2167,-59.5167,81.21,83,20,13.8
26,Jamestown,US,2022-10-11 22:07:34,42.097,-79.2353,65.84,49,20,9.22
27,Geraldton,AU,2022-10-11 22:12:12,-28.7667,114.6,45.01,87,100,1.14
28,Cayenne,GF,2022-10-11 22:18:41,4.9333,-52.3333,82.44,78,0,2.3
29,Leningradskiy,RU,2022-10-11 22:15:12,69.3833,178.4167,22.23,72,93,17.87
30,Taoudenni,ML,2022-10-11 22:18:42,22.6783,-3.9836,94.06,17,24,7.83
31,Oksfjord,NO,2022-10-11 22:18:42,70.2396,22.3479,46.58,85,92,8.99
32,Yar-Sale,RU,2022-10-11 22:18:43,66.8333,70.8333,36.61,86,82,13.82
33,Punta Arenas,CL,2022-10-11 22:12:05,-53.15,-70.9167,44.62,70,40,23.02
34,Bredasdorp,ZA,2022-10-11 22:12:16,-34.5322,20.0403,58.78,96,100,0.89
35,Atuona,PF,2022-10-11 22:07:29,-9.8,-139.0333,77.22,74,38,15.23
36,Naliya,IN,2022-10-11 22:18:44,23.2667,68.8333,80.53,64,2,6.8
37,Ushuaia,AR,2022-10-11 22:12:01,-54.8,-68.3,38.86,87,75,20.71
38,Honningsvag,NO,2022-10-11 22:18:45,70.9821,25.9704,44.35,76,64,16.11
39,Port Alfred,ZA,2022-10-11 22:12:11,-33.5906,26.891,67.17,85,95,1.99
40,Yellowknife,CA,2022-10-11 22:12:23,62.456,-114.3525,34.07,82,100,27.0
41,Sijunjung,ID,2022-10-11 22:18:46,-0.6876,100.9537,71.22,98,100,1.63
42,Comodoro Rivadavia,AR,2022-10-11 22:14:18,-45.8667,-67.5,66.06,24,0,31.07
43,Muros,ES,2022-10-11 22:15:00,42.7762,-9.0603,65.16,86,37,8.43
44,Rikitea,PF,2022-10-11 22:12:10,-23.1203,-134.9692,70.65,77,89,8.77
45,Olafsvik,IS,2022-10-11 22:18:48,64.8945,-23.7142,44.98,65,95,19.33
46,Soyo,AO,2022-10-11 22:18:48,-6.1349,12.3689,76.87,84,14,9.46
47,Port Hardy,CA,2022-10-11 22:19:49,50.6996,-127.4199,59.18,55,20,11.5
48,Vardo,NO,2022-10-11 22:19:50,70.3705,31.1107,46.38,87,100,20.71
49,Esperance,AU,2022-10-11 22:19:50,-33.8667,121.9,46.24,70,53,15.61
50,New Norfolk,AU,2022-10-11 22:14:57,-42.7826,147.0587,60.93,63,100,1.01
51,Hobart,AU,2022-10-11 22:12:18,-42.8794,147.3294,61.27,77,100,5.75
52,Arrigorriaga,ES,2022-10-11 22:19:51,43.2101,-2.8856,66.04,84,100,8.01
53,Roseburg,US,2022-10-11 22:19:06,43.2165,-123.3417,79.5,47,0,5.75
54,Saskylakh,RU,2022-10-11 22:12:16,71.9167,114.0833,26.65,97,99,6.55
55,Cidreira,BR,2022-10-11 22:19:52,-30.1811,-50.2056,64.4,98,100,6.04
56,Butaritari,KI,2022-10-11 22:12:07,3.0707,172.7902,82.13,78,41,20.02
57,Cabo San Lucas,MX,2022-10-11 22:19:53,22.8909,-109.9124,95.31,48,0,5.01
58,Waipawa,NZ,2022-10-11 22:19:53,-41.4122,175.5153,50.5,71,100,6.87
59,Pervoye Maya,RU,2022-10-11 22:19:54,56.164,44.7196,45.48,91,100,6.42
60,Mehamn,NO,2022-10-11 22:16:19,71.0357,27.8492,46.31,87,99,12.66
61,Namibe,AO,2022-10-11 22:19:55,-15.1961,12.1522,67.55,88,55,9.26
